"","Family","TRT","TRT.REP","Live.50.days","TEMP","FOOD","Live.50.percent"
"1","B1-2","B","B1",177,"WARM","LOW",0.07375
"4","A2-3","A","A2",46,"COLD","LOW",0.0191666666666667
"7","D1-2","D","D1",463,"WARM","HIGH",0.192916666666667
"10","B2-3","B","B2",96,"WARM","LOW",0.04
"13","A1-2","A","A1",190,"COLD","LOW",0.0791666666666667
"16","D2-1","D","D2",295,"WARM","HIGH",0.122916666666667
"19","B1-4","B","B1",75,"WARM","LOW",0.03125
"22","A1-3","A","A1",9,"COLD","LOW",0.00375
"25","D2-2","D","D2",26,"WARM","HIGH",0.0108333333333333
"28","C2-2","C","C2",48,"COLD","HIGH",0.02
"31","C1-1","C","C1",139,"COLD","HIGH",0.0579166666666667
"34","D1-3","D","D1",22,"WARM","HIGH",0.00916666666666667
"37","A2-2","A","A2",130,"COLD","LOW",0.0541666666666667
"40","B2-5","B","B2",316,"WARM","LOW",0.131666666666667
"43","B2-6","B","B2",188,"WARM","LOW",0.0783333333333333
"46","D1-4","D","D1",741,"WARM","HIGH",0.30875
"49","C2-3","C","C2",111,"COLD","HIGH",0.04625
"52","D2-4","D","D2",111,"WARM","HIGH",0.04625
"55","C1-2","C","C1",136,"COLD","HIGH",0.0566666666666667
"58","D2-5","D","D2",502,"WARM","HIGH",0.209166666666667
"61","D1-5","D","D1",741,"WARM","HIGH",0.30875
"64","A1-5","A","A1",223,"COLD","LOW",0.0929166666666667
"67","A1-6","A","A1",204,"COLD","LOW",0.085
"70","B1-3","B","B1",129,"WARM","LOW",0.05375
"73","C1-3","C","C1",38,"COLD","HIGH",0.0158333333333333
"76","A2-1","A","A2",46,"COLD","LOW",0.0191666666666667
"79","B1-1","B","B1",442,"WARM","LOW",0.184166666666667
"82","D2-6","D","D2",103,"WARM","HIGH",0.0429166666666667
"85","C1-4","C","C1",139,"COLD","HIGH",0.0579166666666667
"88","B2-1","B","B2",139,"WARM","LOW",0.0579166666666667
"91","C2-1","C","C2",26,"COLD","HIGH",0.0108333333333333
"94","D1-1","D","D1",101,"WARM","HIGH",0.0420833333333333
"97","C1-5","C","C1",69,"COLD","HIGH",0.02875
"100","B1-6","B","B1",125,"WARM","LOW",0.0520833333333333
"103","A2-4","A","A2",34,"COLD","LOW",0.0141666666666667
"106","B2-2","B","B2",418,"WARM","LOW",0.174166666666667
"109","B1-5","B","B1",2,"WARM","LOW",0.000833333333333333
"112","A1-1","A","A1",874,"COLD","LOW",0.364166666666667
"115","D2-3","D","D2",28,"WARM","HIGH",0.0116666666666667
"118","A2-6","A","A2",174,"COLD","LOW",0.0725
"121","D1-6","D","D1",141,"WARM","HIGH",0.05875
"124","A1-4","A","A1",201,"COLD","LOW",0.08375
"127","C1-6","C","C1",50,"COLD","HIGH",0.0208333333333333
"130","C2-4","C","C2",125,"COLD","HIGH",0.0520833333333333
"133","A2-5","A","A2",449,"COLD","LOW",0.187083333333333
"136","B2-4","B","B2",160,"WARM","LOW",0.0666666666666667
"139","C2-5","C","C2",440,"COLD","HIGH",0.183333333333333
"142","C2-6","C","C2",739,"COLD","HIGH",0.307916666666667
